timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6
0,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,45.235,,4.188,,49.269,,3.806,,-3.987,,-1.343,,14.2725,
1,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,45.654,,0.0,,48.706,,3.404,,-2.772,,0.0,,14.053,
2,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,42.47,,0.0,,46.562,,1.903,,-3.849,,-1.279,,13.833,
3,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,45.486,,0.0,,49.028,,2.841,,-3.849,,-1.279,,13.3935,
4,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,43.727,,0.0,,47.58,,2.091,,-3.849,,-1.279,,12.954,
5,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,41.465,,0.0,,45.409,,1.474,,-3.849,,0.0,,12.5145,
6,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,41.884,,0.0,,45.248,,0.0,,-3.849,,-1.247,,12.075,
7,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,45.402,,0.0,,48.438,,2.225,,-3.849,,-1.269,,11.6355,
8,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,43.308,,0.0,,46.562,,1.421,,-2.473,,-1.215,,11.1965,
9,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,45.905,,0.0,,48.518,,2.01,,-2.452,,0.0,,10.757,
10,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,44.816,,0.0,,47.285,,0.0,,-2.452,,0.0,,10.0975,
11,ETTm2,Autoformer,dishts,96,24,1.0,2023,avg,False,legacy,46.407,,0.0,,49.055,,1.448,,-2.495,,0.0,,9.6585,
