timestep,dataset,model,norm,seq_len,pred_len,alpha,seed,dish_init,scaled,prior,gt_0,pred_0,gt_1,pred_1,gt_2,pred_2,gt_3,pred_3,gt_4,pred_4,gt_5,pred_5,gt_6,pred_6
0,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,45.235,,4.188,,49.269,,3.806,,-3.987,,-1.343,,14.2725,
1,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,45.654,,0.0,,48.706,,3.404,,-2.772,,0.0,,14.053,
2,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,42.47,,0.0,,46.562,,1.903,,-3.849,,-1.279,,13.833,
3,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,45.486,,0.0,,49.028,,2.841,,-3.849,,-1.279,,13.3935,
4,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,43.727,,0.0,,47.58,,2.091,,-3.849,,-1.279,,12.954,
5,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.465,,0.0,,45.409,,1.474,,-3.849,,0.0,,12.5145,
6,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.884,,0.0,,45.248,,0.0,,-3.849,,-1.247,,12.075,
7,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,45.402,,0.0,,48.438,,2.225,,-3.849,,-1.269,,11.6355,
8,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,43.308,,0.0,,46.562,,1.421,,-2.473,,-1.215,,11.1965,
9,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,45.905,,0.0,,48.518,,2.01,,-2.452,,0.0,,10.757,
10,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,44.816,,0.0,,47.285,,0.0,,-2.452,,0.0,,10.0975,
11,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,46.407,,0.0,,49.055,,1.448,,-2.495,,0.0,,9.6585,
12,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,47.245,,0.0,,51.065,,1.742,,-3.71,,-1.311,,9.2185,
13,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,47.748,,0.0,,51.011,,1.769,,-2.484,,0.0,,8.7795,
14,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,48.837,,0.0,,51.226,,1.421,,-2.484,,0.0,,8.3395,
15,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,52.69,,0.0,,54.55,,2.305,,-2.484,,0.0,,7.9005,
16,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,51.852,,0.0,,54.416,,2.52,,-2.484,,0.0,,7.9005,
17,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,52.271,,4.523,,55.113,,2.841,,-2.591,,0.0,,7.4605,
18,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,54.03,,5.11,,55.622,,2.922,,-1.226,,0.0,,7.4605,
19,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,52.69,,5.194,,54.255,,3.351,,-1.375,,0.0,,7.0215,
20,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,54.784,,5.529,,55.381,,3.243,,0.0,,0.0,,7.0215,
21,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,56.46,,6.45,,57.793,,4.289,,-1.269,,0.0,,7.0215,
22,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,52.774,,4.691,,56.426,,3.914,,-3.763,,-1.258,,6.8015,
23,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,52.187,,5.11,,55.327,,3.94,,-3.763,,0.0,,6.582,
24,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,51.266,,5.11,,52.915,,4.048,,-2.441,,0.0,,6.582,
25,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,50.763,,5.026,,53.183,,3.833,,-2.441,,0.0,,6.582,
26,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,50.177,,4.775,,52.646,,3.538,,-2.473,,0.0,,6.582,
27,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,45.318,,0.0,,49.564,,2.868,,-3.966,,-1.301,,6.582,
28,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.046,,0.0,,44.095,,0.0,,-2.74,,-1.226,,6.582,
29,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,39.706,,0.0,,42.514,,0.0,,-2.697,,0.0,,6.582,
30,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,40.879,,0.0,,43.747,,1.528,,-2.697,,0.0,,6.582,
31,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,39.371,,0.0,,42.782,,0.0,,-2.697,,-1.311,,6.582,
32,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,40.209,,0.0,,42.487,,1.474,,-2.697,,0.0,,6.582,
33,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,39.371,,0.0,,41.04,,0.0,,-1.439,,0.0,,6.3625,
34,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,35.183,,0.0,,37.528,,0.0,,-2.719,,0.0,,6.3625,
35,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,34.01,,0.0,,36.134,,0.0,,-2.719,,0.0,,6.3625,
36,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.633,,0.0,,43.613,,1.85,,-1.237,,0.0,,6.3625,
37,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,40.292,,0.0,,42.085,,1.448,,-1.311,,0.0,,6.1425,
38,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,38.617,,0.0,,39.86,,0.0,,0.0,,0.0,,6.1425,
39,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,40.544,,0.0,,43.425,,1.957,,-2.527,,0.0,,6.1425,
40,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,39.622,,0.0,,41.576,,1.716,,-2.527,,0.0,,6.1425,
41,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,40.376,,0.0,,42.514,,1.501,,-2.527,,0.0,,6.1425,
42,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.298,,0.0,,42.353,,2.091,,0.0,,0.0,,5.923,
43,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.298,,0.0,,42.487,,2.252,,0.0,,0.0,,5.923,
44,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.465,,0.0,,43.774,,2.198,,-2.026,,0.0,,5.923,
45,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.214,,0.0,,43.425,,2.707,,-2.026,,0.0,,5.923,
46,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.716,,0.0,,43.559,,2.278,,-1.386,,0.0,,5.7035,
47,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,42.638,,0.0,,43.238,,2.091,,0.0,,0.0,,5.7035,
48,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.214,,0.0,,42.139,,1.876,,0.0,,0.0,,5.7035,
49,ETTm2,Autoformer,revin,96,168,0.0,2024,avg,False,none,41.633,,0.0,,43.023,,2.52,,-1.226,,0.0,,5.4835,
